id,Tournament,Year,Captain,Player,Pick Order,Rank
98,Summer,2022,Voidliss#NA1,Brishin#bris,18,5.5
99,Summer,2022,JS Bach#NA1,a midnight snack#DROCK,19,9.5
100,Summer,2022,No Love#NA1,War Koala#1650,20,7.5
101,Summer,2022,No Love#NA1,binkyb1inky#NA1,21,7.5
102,Summer,2022,JS Bach#NA1,Funk#02468,22,9.5
103,Summer,2022,Voidliss#NA1,ATM SammyS#ATM,23,5.5
104,Summer,2022,Yeetor#0828,not Nika#NIKI,24,3.5
105,Summer,2022,Xemacs#LOR,Fabulous Yuma#NA1,25,1.0
106,Summer,2022,Valkorea#T1WIN,LightningFst#1008,26,9.5
107,Summer,2022,SincerelyG#inny,baober#bao,27,7.5
108,Summer,2022,king kang#HUGE,entropy#NA0,28,2.0
109,Summer,2022,Maedre the Flame#NA1,youn9#NA3,29,3.5
110,Summer,2022,SK Telecom T1#Faker,Neznam,30,5.5
111,Summer,2022,SK Telecom T1#Faker,Arachnobat#LOR,31,5.5
112,Summer,2022,Maedre the Flame#NA1,C0L#NA1,32,3.5
113,Summer,2022,king kang#HUGE,Arckana#NA1,33,2.0
114,Summer,2022,SincerelyG#inny,handypark,34,7.5
115,Summer,2022,Valkorea#T1WIN,an9#miko,35,9.5
116,Summer,2022,Xemacs#LOR,Bunniie#1591,36,1.0
117,Summer,2022,Yeetor#0828,NotElectro#3754,37,3.5
118,Summer,2022,Voidliss#NA1,jatanataj#NA1,38,5.5
119,Summer,2022,JS Bach#NA1,CloaknRaven#NA1,39,9.5
120,Summer,2022,No Love#NA1,ninjamonkey1555,40,7.5
121,Summer,2023,i WAS STRONGER,MemeMachine#514,1,9.5
122,Summer,2023,Xemacs#LOR,Ene#TFT,2,2.0
123,Summer,2023,Yeetor#0828,SK Telecom T1#Faker,3,6.5
124,Summer,2023,greenepic#NA1,DeMeatus#NA1,4,8.0
125,Summer,2023,No Love#NA1,police defunder#NA1,5,1.0
126,Summer,2023,Kalesvol#DOOB,yabuo#BUO,6,3.5
127,Summer,2023,Voidliss#NA1,xPhanpy#dil,7,3.5
128,Summer,2023,Tranquil Turtle,Bloodyninja1122#NA1,8,5.0
129,Summer,2023,FirstSeraph#NA1,Inspiring#309,9,6.5
130,Summer,2023,abrahampark#NA1,Alexei#NA1,10,9.5
131,Summer,2023,abrahampark#NA1,Cardinal#7333,11,9.5
132,Summer,2023,FirstSeraph#NA1,entropy#NA0,12,6.5
133,Summer,2023,Tranquil Turtle,Phishy Fish#NA1,13,5.0
134,Summer,2023,Voidliss#NA1,Liquid Blade#4th,14,3.5
135,Summer,2023,Kalesvol#DOOB,KocLV#FREE,15,3.5
136,Summer,2023,No Love#NA1,a midnight snack#DROCK,16,1.0
137,Summer,2023,greenepic#NA1,Brishin#bris,17,8.0
138,Summer,2023,Yeetor#0828,ass fuk,18,6.5
139,Summer,2023,Xemacs#LOR,Ninjalabib#NA1,19,2.0
140,Summer,2023,i WAS STRONGER,SnuggleHero#NA1,20,9.5
141,Summer,2023,i WAS STRONGER,marmarmarmarmar#mar,21,9.5
142,Summer,2023,Xemacs#LOR,Fabulous Yuma#NA1,22,2.0
143,Summer,2023,Yeetor#0828,an9#miko,23,6.5
144,Summer,2023,greenepic#NA1,RichGamebuddy#NA1,24,8.0
145,Summer,2023,No Love#NA1,War Koala#1650,25,1.0
146,Summer,2023,Kalesvol#DOOB,LightningFst#1008,26,3.5
147,Summer,2023,Voidliss#NA1,Chikenbagelz#NA1,27,3.5
148,Summer,2023,Tranquil Turtle,benbooee#BEN,28,5.0
149,Summer,2023,FirstSeraph#NA1,Taco1518#NA1,29,6.5
150,Summer,2023,abrahampark#NA1,C0L#NA1,30,9.5
151,Summer,2023,abrahampark#NA1,youn9#NA3,31,9.5
152,Summer,2023,FirstSeraph#NA1,ajblast#NA1,32,6.5
153,Summer,2023,Tranquil Turtle,ATM SammyS#ATM,33,5.0
154,Summer,2023,Voidliss#NA1,Arachnobat#LOR,34,3.5
155,Summer,2023,Kalesvol#DOOB,Funk#02468,35,3.5
156,Summer,2023,No Love#NA1,jtb102#NA1,36,1.0
157,Summer,2023,greenepic#NA1,jatanataj#NA1,37,8.0
158,Summer,2023,Yeetor#0828,AngusMcRib#DLLM,38,6.5
159,Summer,2023,Xemacs#LOR,xxxTeem0mainxxx#chalk,39,2.0
160,Summer,2023,i WAS STRONGER,Ho Lee Fok#6969,40,9.5
161,Summer,2024,JS Bach#NA1,Unluckys,1,9.5
162,Summer,2024,Yeetor#0828,Korobasne#NA1,2,7.5
163,Summer,2024,Kiny#0001,DeMeatus#NA1,3,5.0
164,Summer,2024,Voidliss#NA1,Ene#TFT,4,1.0
165,Summer,2024,police defunder#NA1,Liquid Blade#4th,5,9.5
166,Summer,2024,Kalesvol#DOOB,xPhanpy#dil,6,3.5
167,Summer,2024,abrahampark#NA1,yabuo#BUO,7,3.5
168,Summer,2024,No Love#NA1,rlylost#NA1,8,2.0
169,Summer,2024,Xemacs#LOR,Ixtali Princess#Diva,9,6.0
170,Summer,2024,SK Telecom T1#Faker,Inspiring#309,10,7.5
171,Summer,2024,SK Telecom T1#Faker,Feiro#NA1,11,7.5
172,Summer,2024,Xemacs#LOR,Zeteo#NA1,12,6.0
173,Summer,2024,No Love#NA1,a midnight snack#DROCK,13,2.0
174,Summer,2024,abrahampark#NA1,KocLV#FREE,14,3.5
175,Summer,2024,Kalesvol#DOOB,HEHEHEHA,15,3.5
176,Summer,2024,police defunder#NA1,War Koala#1650,16,9.5
177,Summer,2024,Voidliss#NA1,RichGamebuddy#NA1,17,1.0
178,Summer,2024,Kiny#0001,benbooee#BEN,18,5.0
179,Summer,2024,Yeetor#0828,ricethesameater#NA1,19,7.5
180,Summer,2024,JS Bach#NA1,Alexei#NA1,20,9.5
181,Summer,2024,JS Bach#NA1,Salamiface#000,21,9.5
182,Summer,2024,Yeetor#0828,Brishin#bris,22,7.5
183,Summer,2024,Kiny#0001,SnuggleHero#NA1,23,5.0
184,Summer,2024,Voidliss#NA1,Bloodyninja1122#NA1,24,1.0
185,Summer,2024,police defunder#NA1,Taco1518#NA1,25,9.5
186,Summer,2024,Kalesvol#DOOB,Jirachi#bee,26,3.5
187,Summer,2024,abrahampark#NA1,SK Telecom T1#Faker,27,3.5
188,Summer,2024,No Love#NA1,Arachnobat#LOR,28,2.0
189,Summer,2024,Xemacs#LOR,C0L#NA1,29,6.0
190,Summer,2024,SK Telecom T1#Faker,cute bbibbi#rose,30,7.5
191,Summer,2024,SK Telecom T1#Faker,Sweet Victory,31,7.5
192,Summer,2024,Xemacs#LOR,Cardinal#7333,32,6.0
193,Summer,2024,No Love#NA1,baober#bao,33,2.0
194,Summer,2024,abrahampark#NA1,kingslayer#beep,34,3.5
195,Summer,2024,Kalesvol#DOOB,bibimbap#yawn,35,3.5
196,Summer,2024,police defunder#NA1,Bunniie#1591,36,9.5
197,Summer,2024,Voidliss#NA1,LightningFst#1008,37,1.0
198,Summer,2024,Kiny#0001,youn9#NA3,38,5.0
199,Summer,2024,Yeetor#0828,NotElectro#3754,39,7.5
200,Summer,2024,JS Bach#NA1,maomer#bao,40,9.5
201,Summer,2025,Salt Frog#NA1,abrahampark#NA1,1,9.5
202,Summer,2025,JS Bach#NA1,police defunder#NA1,2,2.0
203,Summer,2025,Feiro#NA1,DeMeatus#NA1,3,3.5
204,Summer,2025,Xemacs#LOR,benbooee#BEN,4,3.5
205,Summer,2025,Kiny#0001,SK Telecom T1#Faker,5,5.0
206,Summer,2025,Voidliss#NA1,Ene#TFT,6,1.0
207,Summer,2025,No Love#NA1,War Koala#1650,7,6.0
208,Summer,2025,Kalesvol#DOOB,Liquid Blade#4th,8,7.5
209,Summer,2025,MeguFace,Zetsuu#1337,9,7.5
210,Summer,2025,Torpid,Gwendolyn#Stacy,10,9.5
211,Summer,2025,Torpid,KocLV#FREE,11,9.5
212,Summer,2025,MeguFace,LightBulb5942,12,7.5
213,Summer,2025,Kalesvol#DOOB,Jirachi#bee,13,7.5
214,Summer,2025,No Love#NA1,Brishin#bris,14,6.0
215,Summer,2025,Voidliss#NA1,Bloodyninja1122#NA1,15,1.0
216,Summer,2025,Kiny#0001,RichGamebuddy#NA1,16,5.0
217,Summer,2025,Xemacs#LOR,Ixtali Princess#Diva,17,3.5
218,Summer,2025,Feiro#NA1,MENTAL MOUNTAIN#KEN,18,3.5
219,Summer,2025,JS Bach#NA1,Taco1518#NA1,19,2.0
220,Summer,2025,Salt Frog#NA1,SnuggleHero#NA1,20,9.5
221,Summer,2025,Salt Frog#NA1,rlylost#NA1,21,9.5
222,Summer,2025,JS Bach#NA1,Zeteo#NA1,22,2.0
223,Summer,2025,Feiro#NA1,A Gay Raccoon#RNG,23,3.5
224,Summer,2025,Xemacs#LOR,Enelliel#NA1,24,3.5
225,Summer,2025,Kiny#0001,baober#bao,25,5.0
226,Summer,2025,Voidliss#NA1,blizzardpenguin#NA1,26,1.0
227,Summer,2025,No Love#NA1,binkyb1inky#NA1,27,6.0
228,Summer,2025,Kalesvol#DOOB,Poopy Pants#madge,28,7.5
229,Summer,2025,MeguFace,LightningFst#1008,29,7.5
230,Summer,2025,Torpid,Arachnobat#LOR,30,9.5
231,Summer,2025,Torpid,LadyTree#TREE,31,9.5
232,Summer,2025,MeguFace,C0L#NA1,32,7.5
233,Summer,2025,Kalesvol#DOOB,Alexei#NA1,33,7.5
234,Summer,2025,No Love#NA1,WaningEmbers#NA1,34,6.0
235,Summer,2025,Voidliss#NA1,Ninjalabib#NA1,35,1.0
236,Summer,2025,Kiny#0001,kingslayer#beep,36,5.0
237,Summer,2025,Xemacs#LOR,Cardinal#7333,37,3.5
238,Summer,2025,Feiro#NA1,maomer#bao,38,3.5
239,Summer,2025,JS Bach#NA1,Zhangshi#9859,39,2.0
240,Summer,2025,Salt Frog#NA1,No Love#NA1,40,9.5
